Name,Brand,Origin,Year,Engine CC,Type,Weight (kg),Max Speed (km/h),Cost (USD),Acceleration (m/s^2),Fuel Capacity (liters)
FJR1300,Yamaha,Japan,2022,1298,Touring,289,245,20000,6.5,25
XJR1300,Yamaha,Japan,2023,1251,Naked,247,210,15000,5.2,15
MT-07,Yamaha,Japan,2021,689,Naked,182,207,8000,6.8,14
XV950R,Yamaha,Japan,2022,942,Cruiser,252,185,10000,4.5,13
SR400,Yamaha,Japan,2023,399,Cafe Racer,174,140,6500,3.8,12
XMAX 300,Yamaha,Japan,2021,292,Scooter,179,160,6000,4.2,13
Ténéré 700,Yamaha,Japan,2022,689,Adventure,205,205,12000,6.0,16
YZ450F,Yamaha,Japan,2023,450,Motocross,103,140,9000,12.5,7
NMAX 155,Yamaha,Japan,2021,155,Scooter,127,125,3500,5.5,6
Tricity,Yamaha,Japan,2022,155,Scooter,164,140,5000,4.0,7
CB1100,Honda,Japan,2023,1140,Standard,252,200,13000,5.0,17
CTX1300,Honda,Japan,2022,1261,Touring,337,195,17000,4.2,20
NC750X,Honda,Japan,2021,745,Adventure,220,187,9500,5.5,14
VTX1800,Honda,Japan,2023,1795,Cruiser,375,200,15000,3.8,19
CRF450R,Honda,Japan,2022,449,Motocross,108,150,8500,13.0,6.5
Forza 300,Honda,Japan,2021,279,Scooter,182,140,7000,5.0,11
CB300R,Honda,Japan,2022,286,Naked,143,160,4500,6.8,10
Super Cub C125,Honda,Japan,2023,125,Standard,109,95,3500,3.5,3.7
Monkey,Honda,Japan,2021,125,Mini-Bike,105,90,2500,4.5,5
CRF250RX,Honda,Japan,2022,250,Off-road,111,145,8000,8.0,7.6
GSX-S750,Suzuki,Japan,2023,749,Naked,213,220,9500,6.2,16
Boulevard C50,Suzuki,Japan,2022,805,Cruiser,277,155,8000,3.9,15
Inazuma GW250,Suzuki,Japan,2021,248,Naked,183,145,4500,5.5,13.3
SV650X,Suzuki,Japan,2023,645,Cafe Racer,198,200,7500,7.0,13.5
VanVan 200,Suzuki,Japan,2022,199,Scrambler,128,120,4000,4.0,6.5
DR200S,Suzuki,Japan,2021,199,Dual Sport,126,105,4500,3.2,8
Address 110,Suzuki,Japan,2023,113,Scooter,97,90,2500,3.5,5
GSX-R600,Suzuki,Japan,2022,599,Sport,187,259,11000,8.2,16
Hayate 125,Suzuki,Japan,2021,125,Standard,107,90,2000,3.8,4.3
Gixxer SF,Suzuki,Japan,2022,155,Sport,148,130,3000,5.0,11
Ninja 1000SX,Kawasaki,Japan,2023,1043,Sport Touring,238,250,15000,7.0,19
Z400,Kawasaki,Japan,2022,399,Naked,167,180,5000,6.5,14
KLX300,Kawasaki,Japan,2021,292,Dual Sport,128,145,5500,5.0,7.9
W175,Kawasaki,Japan,2023,177,Standard,126,120,4000,4.0,3.8
Z900,Kawasaki,Japan,2022,948,Naked,212,220,9000,7.2,17
Versys-X 300,Kawasaki,Japan,2021,296,Adventure,175,160,5500,4.5,17
KX250,Kawasaki,Japan,2022,249,Motocross,104,130,7500,10.5,6.2
Z125,Kawasaki,Japan,2023,125,Naked,146,110,3000,4.0,7.5
Ninja 650,Kawasaki,Japan,2022,649,Sport,196,220,7500,6.0,15
Vulcan 900,Kawasaki,Japan,2021,903,Cruiser,254,170,8000,3.9,20
Ducati 959 Panigale,Ducati,Italy,2023,955,Superbike,176,265,18000,8.0,15.5
Scrambler Desert Sled,Ducati,Italy,2022,803,Scrambler,209,180,11000,6.5,15
Monster 797,Ducati,Italy,2021,803,Naked,193,200,9500,5.0,14
Multistrada V4,Ducati,Italy,2023,1158,Adventure,243,240,22000,6.2,22
Streetfighter V2,Ducati,Italy,2022,955,Streetfighter,199,270,19000,8.0,16.5
Hypermotard 950 SP,Ducati,Italy,2021,937,Hyper Naked,198,220,15000,7.5,14
Panigale V2,Ducati,Italy,2022,955,Superbike,176,240,17000,8.5,15.5
Diavel 1260S,Ducati,Italy,2023,1262,Cruiser,244,260,20000,7.0,17
Supersport 950 S,Ducati,Italy,2022,937,Sport Touring,210,240,15000,7.5,16
XDiavel S,Ducati,Italy,2021,1262,Cruiser,247,250,23000,6.5,18
RS 660 Tuono,Aprilia,Italy,2023,660,Naked,183,240,16000,7.8,15
Scarabeo 200,Aprilia,Italy,2022,181,Scooter,140,120,3500,4.0,8
Atlantic 500,Aprilia,Italy,2021,492,Scooter,226,160,6000,5.2,15
SR Motard 50,Aprilia,Italy,2023,50,Scooter,82,45,1500,2.5,5
Tuono V4 X,Aprilia,Italy,2022,1078,Naked,199,299,33000,8.5,18.5
RS 50,Aprilia,Italy,2021,50,Sport,95,90,3000,3.0,7
Tuono 660,Aprilia,Italy,2022,660,Naked,183,210,11000,7.2,15
SR 150,Aprilia,Italy,2023,154,Scooter,122,115,4000,5.5,7
Tuono V4 660,Aprilia,Italy,2021,660,Naked,183,225,13000,7.0,15
Mana 850 GT,Aprilia,Italy,2022,839,Sport Touring,223,201,9000,6.2,16
Shiver 900 GT,Aprilia,Italy,2021,896,Naked,189,209,12000,7.0,15
Leoncino 800 Trail,Benelli,Italy,2023,754,Adventure,220,220,12000,5.5,16
502X,Benelli,Italy,2022,500,Adventure,210,205,9000,5.8,21
TNT 300,Benelli,Italy,2021,300,Naked,196,160,4000,6.5,16
Leoncino 250 Trail,Benelli,Italy,2023,250,Adventure,153,180,7000,4.2,12.5
752S,Benelli,Italy,2022,750,Naked,228,220,8000,5.5,14
TRK 800,Benelli,Italy,2021,754,Adventure,215,230,15000,5.2,20
Leoncino 800 Sport,Benelli,Italy,2022,754,Cafe Racer,214,230,13000,5.0,16
302R,Benelli,Italy,2023,300,Sport,198,160,5500,6.8,14
502 Sport,Benelli,Italy,2022,500,Sport Touring,215,190,8500,5.5,20
TRK 300,Benelli,Italy,2021,300,Adventure,191,150,6000,5.0,12
GSX-R1000,Suzuki,Japan,2023,999,Sport,203,299,17000,9.5,16
Boulevard M800,Suzuki,Japan,2022,805,Cruiser,277,160,9000,4.2,15
DR-Z50,Suzuki,Japan,2021,49,Mini-Bike,54,50,1500,2.5,2.3
SV650S,Suzuki,Japan,2023,645,Sport,197,220,7500,6.5,13
V-Strom 1050,Suzuki,Japan,2022,1037,Adventure,236,220,13000,5.5,20
GSX250RR,Suzuki,Japan,2021,248,Sport,168,180,5500,6.0,14
Burgman 650,Suzuki,Japan,2023,638,Scooter,277,185,11000,4.0,15
Intruder 150,Suzuki,Japan,2022,154,Cruiser,149,115,3500,5.0,11
RM85,Suzuki,Japan,2021,85,Motocross,77,110,3500,5.0,4.5
Hayate EP,Suzuki,Japan,2023,113,Standard,107,85,2000,3.8,4.3
Ninja 300,Kawasaki,Japan,2022,296,Sport,172,182,5000,6.0,14
Z900RS Cafe,Kawasaki,Japan,2023,948,Standard,215,220,12000,6.8,17
Versys 650,Kawasaki,Japan,2021,649,Adventure,217,200,8500,5.5,21
Z1000,Kawasaki,Japan,2022,1043,Naked,221,240,13000,6.5,15
KX250F,Kawasaki,Japan,2023,249,Motocross,104,140,9000,12.0,6.5
KLX230,Kawasaki,Japan,2021,233,Dual Sport,134,115,4500,4.5,7.8
W250,Kawasaki,Japan,2022,249,Standard,150,140,6000,5.0,10,10
Ninja 650R,Kawasaki,Japan,2023,649,Sport,196,220,8000,6.0,15
Vulcan 1700,Kawasaki,Japan,2022,1700,Cruiser,362,210,15000,3.7,20
KX85,Kawasaki,Japan,2021,85,Motocross,77,120,3500,6.0,3.8
Z400,Kawasaki,Japan,2022,399,Naked,167,180,5000,6.5,14
Ninja 125,Kawasaki,Japan,2023,125,Sport,148,120,4000,5.0,11
KLX140,Kawasaki,Japan,2021,144,Dirt Bike,99,100,2500,4.0,5.8
W175 Cafe,Kawasaki,Japan,2022,177,Cafe Racer,135,120,4500,4.5,4.3
Z125 Pro,Kawasaki,Japan,2023,125,Naked,101,100,3000,4.0,7.5
